Customer_ID,Age,Energy_Consumption,Location,Time_of_Use,Previous_Bills,Average_Temperature,Energy_Usage_History,Payment_Method,Consumption_Type
349674fd-7878-4927-9b5e-a99ec45cb77e,38,805.0,Suburban,Night,263.0,16.869353200574505,Abnormal,Debit Card,Residential
3427bdd4-d1f7-44a6-99c4-8735eb81d8a7,38,721.0,Rural,Day,278.0,15.727895608375178,Abnormal,Cash,Residential
97a417eb-8559-491e-88d0-dc8c6e7b6711,41,391.0,Urban,Day,199.0,25.54291166897449,Abnormal,Credit Card,Residential
e2595c2f-920d-4117-a92e-0266ed8fdfb0,30,154.0,Urban,Day,242.0,34.635083894687696,Normal,Debit Card,Commercial
243ee6de-7424-41ef-89c2-42065d05ac15,31,545.0,Rural,Day,499.0,16.864784174651607,Abnormal,Debit Card,Residential
2865ed78-fddd-4991-8a10-8ad872c53d42,22,472.0,Suburban,Day,334.0,23.2640436360375,Abnormal,Credit Card,Residential
d604d283-88e1-4ac2-8ab2-2dfab5157d13,66,245.0,Urban,Day,252.0,17.290198768618122,Normal,Debit Card,Residential
85ec868f-631b-419b-b5c0-f55f2a4ae4e7,67,407.0,Urban,Night,443.0,25.71588524161661,Normal,Cash,Commercial
c72f30ae-70cf-437e-8127-f546967870f8,63,772.0,Urban,Night,68.0,25.37569698352548,Normal,Cash,Residential
e2fc6c03-c5b1-417b-8d3b-c1dd4ee2de6f,62,436.0,Rural,Day,429.0,18.512507495654766,Normal,Debit Card,Commercial
8fdc3893-84a0-459d-a859-5860c185f898,73,204.0,Suburban,Day,175.0,34.60915133030406,Abnormal,Cash,Commercial
8a33c57d-a56b-4cee-9e70-d98b4f844ea1,76,864.0,Suburban,Night,414.0,17.10950872404807,Normal,Debit Card,Residential
48f42cfc-bf40-4337-9b04-445d003f7616,29,,Rural,Night,177.0,18.983514063754146,Abnormal,Credit Card,Residential
4284de66-be3a-48d8-a9b0-423f7a8e1400,62,749.0,Urban,Night,181.0,21.911140924712797,Abnormal,Debit Card,Commercial
d659846c-85ac-4a11-a823-692c51d53c60,25,509.0,Urban,Night,489.0,29.65714433770845,Normal,Debit Card,Commercial
0304973c-74c4-45d5-92a3-539e976857f6,71,,Suburban,Night,173.0,28.20107866727792,Normal,Credit Card,Residential
c5834ec5-f36a-4714-9db3-352fc8d709b6,33,111.0,Urban,Night,178.0,30.898132694813718,Abnormal,Debit Card,Commercial
ecd99749-c08a-4d96-b6d3-bcf667913756,39,784.0,Urban,Day,154.0,19.785708057276317,Normal,Cash,Commercial
844f3041-dc01-4651-a285-7ed37db5c4cb,34,759.0,Urban,Night,235.0,20.24407431566842,Abnormal,Credit Card,Residential
f98565f7-57a8-49d0-8e80-1061601921f8,45,669.0,Urban,Night,54.0,27.807199985390355,Normal,Debit Card,Residential
b53a6158-13dc-4664-a11e-7c469825e05f,33,995.0,Suburban,Night,429.0,33.24928657026685,Normal,Credit Card,Residential
81941d08-608c-425a-8ee8-7e749612b273,30,122.0,Urban,Day,101.0,29.55379610968806,Normal,Debit Card,Commercial
432baa3a-b3c9-4236-b810-a94763900bfd,36,836.0,Rural,Day,398.0,19.75433218790827,Abnormal,Cash,Commercial
e9e4aee5-e52d-4e42-acfd-6dced599a836,53,194.0,Suburban,Night,403.0,34.60223117699736,Normal,Cash,Residential
e96ceed6-b27c-412e-87b6-8e23ed60e8e8,21,666.0,Rural,Day,468.0,24.75297134999664,Abnormal,Cash,Commercial
39f6b799-4e7d-4cd5-91ce-f293db0ab4b2,70,860.0,Urban,Day,213.0,20.717144255625676,Normal,Debit Card,Commercial
7c98d06f-85f7-4524-b2f4-f5dbcb29587c,72,785.0,Urban,Night,445.0,29.756403729724703,Abnormal,Debit Card,Commercial
1a4fe5ab-94a1-44dd-a92d-7372c96260ae,56,565.0,Suburban,Day,205.0,33.81325439571543,Abnormal,Debit Card,Commercial
8520c768-22eb-45a8-baae-15d164f40748,45,445.0,Rural,Night,54.0,31.399588956980946,Normal,Debit Card,Residential
20e73d68-f1d9-4450-b861-c353143fdeff,59,146.0,Urban,Day,64.0,31.43132820714505,Normal,Debit Card,Commercial
0002c463-cf41-4bb4-a18e-5a333d5f0b31,54,748.0,Suburban,Night,131.0,33.027380428241756,Normal,Cash,Commercial
fd6da134-eacf-4410-997e-3d836dd244b6,59,364.0,Rural,Day,403.0,25.65165937751759,Normal,Credit Card,Commercial
8ee06a61-8e67-4151-ab7d-49987d0f7a63,44,820.0,Urban,Day,177.0,,Abnormal,Credit Card,Residential
5b1f919d-6c7a-4925-a110-fa808346910c,23,116.0,Suburban,Night,183.0,17.1126603194775,Abnormal,Debit Card,Commercial
b00ea6bd-807e-43c1-8e6c-c5f6861ad8e8,67,438.0,Rural,Day,404.0,16.727817531226332,Abnormal,Debit Card,Commercial
25e4c801-a9b8-422c-9f94-448c5defcd95,41,183.0,Suburban,Night,215.0,22.278121501227005,Abnormal,Cash,Residential
22a651cf-5b3a-4357-bfb3-c7d0fe681db6,57,646.0,Urban,Day,310.0,31.42787201183488,Abnormal,Cash,Commercial
1a023034-57ec-43e7-bcac-bf61873c1a35,22,217.0,Urban,Day,97.0,18.949870348064767,Abnormal,Cash,Commercial
8dba7cef-1cad-47ea-8f52-19acc80ba287,49,396.0,Rural,Day,287.0,23.263916530081673,Normal,Cash,Residential
1766ac19-12d3-42f3-bdc0-87b9d73dce12,24,157.0,Rural,Day,149.0,31.023607130646607,Abnormal,Credit Card,Residential
227104b7-3aa1-4f9e-b851-8ae5b6346981,45,701.0,Suburban,Day,301.0,32.307794786732856,Normal,Cash,Commercial
